club;idUsuari;EsHome;edat;antiguetat;servei;EsFamiliar;EsQuotaParcial;accessos_mes;email;mobil;nom
Claror Cartagena;1000001;0;30;2;Soci individual tot el dia Sardenya;0;0;0;marta.sala@cookiebox.org;12345;Marta
Claror Can Caralleu;1000002;0;40;3;Soci individual tot el dia Can Caralleu;1;1;1;monica.espada@cookiebox.es;12345;Mònica
Claror Sardenya;1000003;0;50;4;Soci individual tot el dia Sardenya;0;0;2;sonia.martinez@cookiebox.es;12345;Sònia
Claror Marítim;1000004;0;60;5;Soci individual tot el dia Marítim;1;1;3;alex.estruch@cookiebox.es;12345;Alex
Claror Cartagena;1000005;0;20;6;Soci individual mig dia Sardenya;0;0;4;rocio.ortiz@cookiebox.es;12345;Rocio
Claror Can Caralleu;1000006;1;70;7;Soci individual mig dia Can Caralleu;1;1;5;carlos.andreu@cookiebox.es;12345;Carlos
Claror Sardenya;1000007;0;30;8;Soci individual mig dia Sardenya;0;0;0;ana.perez@cookiebox.es;12345;Ana
Claror Marítim;1000008;0;40;2;Soci individual mig dia Marítim;1;1;1;helena.navarro@cookiebox.es;12345;Helena
Claror Cartagena;1000009;1;50;3;Soci individual tot el dia Sardenya;0;0;2;adrian.gallardo@cookiebox.es;12345;Adri
Claror Can Caralleu;1000010;1;60;4;Soci individual tot el dia Can Caralleu;1;1;3;javier.vicente@cookiebox.es;12345;Javi
Claror Sardenya;1000011;1;20;5;Soci individual tot el dia Sardenya;0;0;4;oscar.garciap@cookiebox.es;12345;Oscar
Claror Marítim;1000012;1;70;6;Soci individual tot el dia Marítim;1;1;5;roman.zabal@cookiebox.es;12345;Roman
Claror Cartagena;1000013;0;30;7;Soci individual mig dia Sardenya;0;0;0;cristina.bieto@cookiebox.es;12345;Cris
Claror Can Caralleu;1000014;0;40;8;Soci individual mig dia Can Caralleu;1;1;1;miriam.andreu@cookiebox.es;12345;Miriam
Claror Sardenya;1000015;0;50;2;Soci individual mig dia Sardenya;0;0;2;diana.matamoros@cookiebox.es;12345;Diana
Claror Marítim;1000016;0;60;3;Soci individual mig dia Marítim;1;1;3;alba.gonzalez@cookiebox.es;12345;Alba
Claror Cartagena;1000017;1;20;4;Soci individual tot el dia Sardenya;0;0;4;fran.gomez@cookiebox.es;12345;Fran
